loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,hardship_flag,disbursement_method,debt_settlement_flag,debt_settlement_flag_date
20250,20250,19142.161077147408,60 months,15.27,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,0.0,Nov-1997,3.0,,,8.0,0.0,17813,85.6,22.0,f,0.0,0.0,27679.04999702957,25433.6,20250.0,7429.05,0.0,0.0,0.0,Aug-2015,6024.09,,Jun-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
21000,21000,21000.0,36 months,12.42,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000.0,Verified,Dec-2011,Charged Off,n,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0.0,Feb-1983,0.0,,,7.0,0.0,32135,90.3,38.0,f,0.0,0.0,14034.6,14034.6,10694.96,3330.44,0.0,9.2,0.0,Sep-2013,701.73,,Feb-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,11.71,330.76,B,B3,Value Air,10+ years,OWN,50000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,Credit Card Loan,799xx,TX,11.18,0.0,Jul-1985,0.0,,,8.0,0.0,10056,82.4,21.0,f,0.0,0.0,11907.3500000015,11907.35,10000.0,1907.35,0.0,0.0,0.0,Jan-2015,349.21,,Jan-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,11.71,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0.0,Apr-2003,0.0,,,6.0,0.0,17800,91.8,17.0,f,0.0,0.0,11540.8919774065,11540.89,10000.0,1540.89,0.0,0.0,0.0,Oct-2013,4942.63,,Mar-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
6000,6000,6000.0,36 months,11.71,198.46,B,B3,bmg-educational,1 year,RENT,76000.0,Not Verified,Dec-2011,Charged Off,n,major_purchase,cash,900xx,CA,2.4,0.0,Jun-2001,1.0,,,7.0,0.0,5963,29.7,7.0,f,0.0,0.0,2055.85,2055.85,1305.58,475.25,0.0,275.02,2.57,Oct-2012,198.46,,Oct-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
15000,15000,15000.0,36 months,9.91,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000.0,Verified,Dec-2011,Fully Paid,n,credit_card,No more credit card debt!,605xx,IL,29.44,0.0,Feb-2002,0.0,,,8.0,0.0,13707,93.9,31.0,f,0.0,0.0,15823.9990494149,15824.0,15000.0,824.0,0.0,0.0,0.0,Sep-2012,2447.05,,Sep-2012,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
15000,15000,8725.0,36 months,14.27,514.64,C,C2,nyc transit,9 years,RENT,60000.0,Not Verified,Dec-2011,Charged Off,n,debt_consolidation,consolidation,103xx,NY,15.22,0.0,Oct-2003,1.0,,,7.0,0.0,5872,57.6,11.0,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
4000,4000,4000.0,36 months,11.71,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1.0,Aug-1984,0.0,18.0,,12.0,0.0,6110,37.7,44.0,f,0.0,0.0,4486.293519007,4486.29,4000.0,486.29,0.0,0.0,0.0,Apr-2013,2638.77,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
4375,4375,4375.0,36 months,7.51,136.11,A,A3,,7 years,MORTGAGE,17108.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation,141xx,NY,20.34,0.0,Dec-1987,0.0,,,6.0,0.0,11210,86.9,12.0,f,0.0,0.0,4899.9599995808,4899.96,4375.0,524.96,0.0,0.0,0.0,Jan-2015,144.94,,Mar-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
31825,31825,31825.0,36 months,7.9,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.03,0.0,Nov-1981,0.0,,,12.0,0.0,23151,27.4,26.0,f,0.0,0.0,34886.9137767411,34886.91,31825.0,3061.91,0.0,0.0,0.0,Aug-2013,16966.7,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,9975.0,60 months,15.96,242.97,C,C5,US Legal Support,2 years,RENT,29120.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,Brown Eyes Loan,330xx,FL,22.83,0.0,Feb-1997,1.0,68.0,,11.0,0.0,16158,63.6,31.0,f,0.0,0.0,14577.2188537574,14540.78,10000.0,4577.22,0.0,0.0,0.0,Jan-2017,241.99,,Jan-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
7000,7000,7000.0,36 months,15.96,245.97,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,Credit Card Loan,934xx,CA,6.35,0.0,Oct-2007,1.0,,,6.0,0.0,6113,60.5,6.0,f,0.0,0.0,8854.5100035237,8854.51,7000.0,1854.51,0.0,0.0,0.0,Jan-2015,260.74,,Jun-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10800,10800,10800.0,36 months,9.91,348.03,B,B1,Department of Justice,2 years,RENT,55596.0,Source Verified,Dec-2011,Fully Paid,n,moving,Moving to better job; help a veteran!,946xx,CA,5.5,0.0,Dec-2000,0.0,,,7.0,0.0,2535,13.3,18.0,f,0.0,0.0,12159.186870273501,12159.19,10800.0,1359.19,0.0,0.0,0.0,Nov-2013,3483.79,,Aug-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12500,12500,12475.0,60 months,12.69,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,Credit card debt,604xx,IL,16.04,0.0,Dec-2001,3.0,,,6.0,0.0,10143,50.0,24.0,f,0.0,0.0,16945.875952545503,16911.98,12500.0,4445.88,0.0,0.0,0.0,Jan-2017,281.92,,Dec-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,7.9,375.49,A,A4,John Wiley Jr.,10+ years,RENT,62300.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation,088xx,NJ,16.7,0.0,Mar-1994,0.0,38.0,,15.0,0.0,8601,21.0,25.0,f,0.0,0.0,13517.359996974299,13517.36,12000.0,1517.36,0.0,0.0,0.0,Jan-2015,380.98,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,10.65,325.74,B,B2,Costco Wholesale Corp.,6 years,RENT,27000.0,Verified,Dec-2011,Fully Paid,n,other,Other Loan,104xx,NY,11.47,0.0,Nov-2006,0.0,,,7.0,0.0,7814,52.3,10.0,f,0.0,0.0,11726.3200000003,11726.32,10000.0,1726.32,0.0,0.0,0.0,Jan-2015,332.92,,Jul-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
15000,15000,15000.0,36 months,9.91,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000.0,Not Verified,Dec-2011,Charged Off,n,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0.0,Apr-1992,2.0,,,9.0,0.0,11845,63.7,28.0,f,0.0,0.0,16177.770000000002,16177.77,13556.45,2374.34,24.17,222.81,36.3708,Oct-2014,483.38,,Oct-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
25600,25600,25350.0,36 months,9.91,824.96,B,B1,City of Santa Monica ,9 years,RENT,110000.0,Verified,Dec-2011,Fully Paid,n,credit_card,Credit card refinance loan,913xx,CA,15.71,0.0,Jul-1999,0.0,,,11.0,0.0,26088,62.0,27.0,f,0.0,0.0,29698.51000000091,29408.49,25600.0,4098.51,0.0,0.0,0.0,Jan-2015,838.27,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
7000,7000,7000.0,36 months,10.65,228.02,B,B2,Aerotek Scientific,< 1 year,RENT,40000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,Loan 12142011,947xx,CA,7.38,0.0,Apr-2004,0.0,,,7.0,0.0,12168,92.9,12.0,f,0.0,0.0,8208.4100028986,8208.41,7000.0,1208.41,0.0,0.0,0.0,Jan-2015,240.27,,Dec-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,15.96,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000.0,Not Verified,Dec-2011,Charged Off,n,car,Car Loan,914xx,CA,20.88,0.0,Oct-2006,2.0,,,11.0,0.0,15793,90.8,11.0,f,0.0,0.0,3531.77,3531.77,1903.66,1039.35,0.0,588.76,5.49,Aug-2012,421.65,,Jul-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,9.91,386.7,B,B1,Scott & White,1 year,RENT,46000.0,Not Verified,Dec-2011,Fully Paid,n,credit_card,Credit Cards,765xx,TX,8.11,0.0,May-2000,1.0,,,11.0,0.0,12143,52.1,12.0,f,0.0,0.0,13751.144738717,13751.14,12000.0,1751.14,0.0,0.0,0.0,Jul-2014,964.73,,Dec-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,10.65,325.74,B,B2,DCAA,2 years,RENT,51400.0,Not Verified,Dec-2011,Fully Paid,n,credit_card,My End to Bad Spending Habits Plan,752xx,TX,19.14,0.0,Oct-2000,3.0,,,10.0,0.0,10160,59.1,24.0,f,0.0,0.0,10576.4341135188,10576.43,10000.0,576.43,0.0,0.0,0.0,Aug-2012,8627.74,,Sep-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
7100,7100,7100.0,36 months,16.77,252.33,D,D2,Triple D security ,1 year,MORTGAGE,33000.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,To pay of all debt,787xx,TX,24.0,0.0,Apr-2007,2.0,,,4.0,0.0,6021,91.2,8.0,f,0.0,0.0,9083.530004561999,9083.53,7100.0,1983.53,0.0,0.0,0.0,Jan-2015,262.78,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
13000,13000,13000.0,60 months,12.69,293.74,B,B5,wrisco,< 1 year,MORTGAGE,30000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,077xx,NJ,13.72,0.0,May-2002,0.0,,,17.0,0.0,17080,58.9,27.0,f,0.0,0.0,17402.2399867971,17402.24,13000.0,4402.24,0.0,0.0,0.0,Jan-2016,3596.46,,Jan-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
17500,8950,8925.0,60 months,17.27,223.74,D,D3,,6 years,RENT,40000.0,Verified,Dec-2011,Fully Paid,n,small_business,Start Up,951xx,CA,19.47,0.0,May-2006,1.0,,,5.0,0.0,10724,58.9,6.0,f,0.0,0.0,13227.100007269306,13190.15,8950.0,4277.1,0.0,0.0,0.0,Feb-2016,2487.58,,Jan-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
16425,16425,16425.0,36 months,14.27,563.53,C,C2,"Gen-Probe, Inc",4 years,RENT,44544.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,New Start,921xx,CA,22.71,0.0,Oct-2002,1.0,,,10.0,0.0,15747,83.4,18.0,f,0.0,0.0,18174.8288097539,18174.83,16425.0,1749.83,0.0,0.0,0.0,Nov-2012,13108.71,,Oct-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
8200,8200,8200.0,60 months,21.28,223.14,F,F2,autozone,4 years,RENT,75000.0,Source Verified,Dec-2011,Charged Off,n,small_business,Small_Business Loan,912xx,CA,12.48,0.0,Jan-2000,3.0,,,6.0,0.0,9012,73.9,11.0,f,0.0,0.0,4177.11,4177.11,1525.83,2265.85,0.0,385.43,3.6,Jun-2013,223.14,,Oct-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
15000,15000,15000.0,36 months,14.65,517.42,C,C3,USAF Civil Service,2 years,OWN,61000.0,Verified,Dec-2011,Fully Paid,n,credit_card,Credit Refinance,325xx,FL,11.88,0.0,Jun-2004,1.0,,,8.0,0.0,19397,79.5,18.0,f,0.0,0.0,18565.148040058797,18565.15,15000.0,3565.15,0.0,0.0,0.0,Sep-2014,2533.38,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
6400,6400,6400.0,36 months,16.77,227.45,D,D2,"Riverside County, California",5 years,RENT,75000.0,Not Verified,Dec-2011,Charged Off,n,debt_consolidation,Help,923xx,CA,20.22,0.0,Dec-1994,0.0,48.0,,9.0,0.0,7159,67.5,27.0,f,0.0,0.0,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,Oct-2013,227.45,,Apr-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
14400,14400,14400.0,36 months,8.9,457.25,A,A5,Model Metrics,< 1 year,OWN,150000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,Credit Payoff 14400,146xx,NY,14.85,0.0,Dec-1994,0.0,,,12.0,0.0,63864,55.0,38.0,f,0.0,0.0,16460.849998348,16460.85,14400.0,2060.85,0.0,0.0,0.0,Jan-2015,464.02,,Dec-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,14.65,413.94,C,C3,Boro of Butler,10+ years,RENT,90000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,074xx,NJ,16.56,0.0,Dec-1984,2.0,40.0,,12.0,0.0,17116,78.5,36.0,f,0.0,0.0,12699.7120089012,12699.71,12000.0,699.71,0.0,0.0,0.0,Jun-2012,11046.6,,Jan-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
11000,11000,11000.0,36 months,13.49,373.24,C,C1,TX Army National Guard,10+ years,MORTGAGE,48000.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation,786xx,TX,21.82,0.0,Dec-1999,3.0,74.0,,15.0,0.0,11382,65.0,29.0,f,0.0,0.0,13418.280003136999,13418.28,11000.0,2418.28,0.0,0.0,0.0,Oct-2014,1491.29,,Oct-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
7250,7200,7175.0,60 months,21.67,197.51,F,F3,Cross Country Travel Corp,< 1 year,RENT,75000.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,937xx,CA,24.82,0.0,May-2000,2.0,,97.0,9.0,1.0,21706,91.2,19.0,f,0.0,0.0,8204.7740891575,8176.29,7200.0,1004.77,0.0,0.0,0.0,Sep-2012,6824.7,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,1.0,0.0,N,Cash,N,
15000,15000,15000.0,36 months,7.9,469.36,A,A4,Segovia's Transportion Inc.,1 year,MORTGAGE,52000.0,Not Verified,Dec-2011,Fully Paid,n,small_business,Small_Business Loan,799xx,TX,9.65,0.0,Nov-2003,1.0,,,11.0,0.0,1616,6.7,29.0,f,0.0,0.0,15557.6800842281,15557.68,15000.0,557.68,0.0,0.0,0.0,Aug-2012,312.74,,Feb-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
18000,18000,18000.0,60 months,19.91,475.99,E,E4,AVMED HEALTH PLANS,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,331xx,FL,6.81,0.0,Jun-1989,0.0,25.0,,10.0,0.0,11745,77.8,40.0,f,0.0,0.0,26034.66002330465,26034.66,18000.0,8010.86,23.80000006407,0.0,0.0,Oct-2014,10783.73,,Oct-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
35000,22075,22050.0,60 months,17.27,551.84,D,D3,tutor Per ini Corporation,3 years,MORTGAGE,150000.0,Verified,Dec-2011,Fully Paid,n,home_improvement,Home improvement,115xx,NY,7.51,0.0,Jun-2003,1.0,35.0,,11.0,0.0,7334,53.3,31.0,f,0.0,0.0,28887.1000680414,28854.39,22075.0,6812.1,0.0,0.0,0.0,Feb-2014,15660.22,,Feb-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
11800,11800,11800.0,36 months,12.69,395.83,B,B5,Koi Restaurant,6 years,RENT,42000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,Credit Card Refinancing,114xx,NY,9.86,0.0,Oct-1996,0.0,,,4.0,0.0,8940,74.8,13.0,f,0.0,0.0,14249.8400071008,14249.84,11800.0,2449.84,0.0,0.0,0.0,Jan-2015,419.36,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
4500,4500,4500.0,36 months,6.03,136.96,A,A1,CaseStack,4 years,RENT,53000.0,Source Verified,Dec-2011,Fully Paid,n,major_purchase,Auto Loan,908xx,CA,4.44,0.0,Oct-2000,0.0,,,7.0,0.0,8630,13.9,17.0,f,0.0,0.0,4930.5558913289005,4930.56,4500.0,430.56,0.0,0.0,0.0,Jan-2015,138.95,,Jul-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
7000,7000,7000.0,36 months,12.69,234.82,B,B5,Bellflower convalecent hospital,10+ years,RENT,35000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,I pay my all credit,902xx,CA,11.35,0.0,May-2000,2.0,53.0,,10.0,0.0,7649,82.3,26.0,f,0.0,0.0,8453.2600013048,8453.26,7000.0,1453.26,0.0,0.0,0.0,Jan-2015,248.19,,Nov-2015,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
9200,9200,9200.0,36 months,12.42,307.43,B,B4,Kaiser Permanente,2 years,RENT,60000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,Nissan Car Loan,902xx,CA,19.96,0.0,Oct-2002,3.0,,,8.0,0.0,23299,78.7,19.0,f,0.0,0.0,10482.843889170501,10482.84,9200.0,1282.84,0.0,0.0,0.0,Jul-2013,365.48,,Jul-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
4500,4500,4475.0,60 months,10.65,97.06,B,B2,barnes distribution,< 1 year,MORTGAGE,42000.0,Source Verified,Dec-2011,Fully Paid,n,car,Car Loan,750xx,TX,5.4,0.0,Feb-1983,0.0,,,4.0,0.0,8220,78.3,9.0,f,0.0,0.0,4910.6738556028995,4883.39,4500.0,410.67,0.0,0.0,0.0,Dec-2012,3946.24,,Dec-2012,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,13.49,407.17,C,C1,LITHIA MOTORS,4 years,RENT,72000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,MAKE ON PAYMENT,937xx,CA,21.33,0.0,May-2003,1.0,,,11.0,0.0,3419,27.6,19.0,f,0.0,0.0,13990.921316624399,13990.92,12000.0,1990.92,0.0,0.0,0.0,Apr-2014,426.26,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,10.65,390.88,B,B2,Insight Global,< 1 year,RENT,62000.0,Verified,Dec-2011,Fully Paid,n,credit_card,Credit Card Refinance,750xx,TX,23.94,0.0,Jun-2002,0.0,,,10.0,0.0,20310,78.4,51.0,f,0.0,0.0,12780.0723889535,12780.07,12000.0,780.07,0.0,0.0,0.0,Sep-2012,10046.57,,Apr-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
8200,8200,8200.0,60 months,19.42,214.62,E,E3,Claret Wine Bar,3 years,RENT,120000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,Debit consolidation,104xx,NY,2.8,0.0,Jun-2007,2.0,,,5.0,0.0,10392,88.4,6.0,f,0.0,0.0,11909.4500122327,11909.45,8200.0,3709.45,0.0,0.0,0.0,Dec-2014,4625.07,,Feb-2019,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10500,10500,10500.0,36 months,12.69,352.23,B,B5,O'Connor,10+ years,RENT,66000.0,Verified,Dec-2011,Fully Paid,n,medical,medical,950xx,CA,20.73,1.0,Sep-1998,2.0,10.0,,8.0,0.0,5790,51.2,26.0,f,0.0,0.0,11233.319409561202,11233.32,10500.0,733.32,0.0,0.0,0.0,Oct-2012,4421.32,,Jul-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
